ARG, ARGH                     , http://www.arghratings.com
BBT, Baker Bradley-Terry      ,http://dbaker.50webs.com
BUR, Burrus                   , https://sites.google.com/site/burrushoops
BWE, B Wilson Empirical       , http://www.buzzplugg.com/bryan/ncaabRankings.php
COL, Colley                   , http://www.colleyrankings.com
DAV, Davis                    , http://www.rockchalk.com
DCI, Daniel Curry Index       ,http://dcindex-choop.blogspot.com/search/label/DCI%20Rank
DII, Donchess Inference       , http://www.dratings.com
DOK, Dokter Entropy           , http://www.timetravelsports.com/colbb.html
DOL, Dolphin                  , http://www.dolphinsim.com/ratings/ncaa_mbb
EBP, ESPN BPI                 , http://espn.go.com/mens-college-basketball/bpi
FAS, Ford AMSTS               , http://www.allmysportsteamssuck.com/ncaa-college-basketball-rankings
FMG, Fleming                  , http://minkeynet.net/~pfleming/fcfcr
FSH, Forseth ERFunction       , http://erikforseth.com
HAS, Haslametrics             , http://haslametrics.com
KPK, Kirkpatrick              , http://talismanred.com/ratings/ckhoops
LOG, Logan                    , http://loganssportsratings.blogspot.com
MAS, Massey                   ,http://www.masseyratings.com/cb/ncaa-d1/ratings
MMG, Mark Moog                , http://www.markmoog.com
MOR, Moore                    , http://sonnymoorepowerratings.com
PGH, Pugh                     , http://www.compughterratings.com/CBB/rankings
PIG, Pigskin                  , http://powerratings.com/cbasket.htm
POM, Pomeroy                  , http://www.kenpom.com/rate.php
PRR, Peer Rankings            , https://hoopsrankings.com
RPI, RPI                      ,http://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-rpi
RTH, Rothman                  , http://prwolfe.bol.ucla.edu/cbasketball/rothman.txt
RTP, RT Power                 , http://realtimerpi.com/ncaab/college_Men_basketball_power_rankings_Full.html
SAG, Sagarin                  , http://www.usatoday.com/sports/ncaab/sagarin
SEL, Self                     ,https://raw.github.com/jeffself/collegebasketballrankings/master/cbrank2018.txt
SGR, Singer                   ,https://docs.google.com/spreadsheets/d/e/2PACX-1vTt8UxjKAEIjcj_InZ1Ah_CIKJqlphKL7VPfsqWzJUFI1TIAvQXH6NFuHYjlDX88TkqqcVhZINYlzCm/pubhtml#
SMN, Seed Madness             , http://www.seed-madness.com
STH, Sport Theory             , http://sportheory.com
TRK, T-Rank                   , http://barttorvik.com
TRP, TeamRankings Pred        , http://www.teamrankings.com/ncaa-basketball/ranking/predictive-by-other
WIL, Wilson                   , http://talismanred.com/ratings/hoops
WLK, Whitlock                 , http://sawhitlock.home.mindspring.com
WOL, Wolfe                    , http://prwolfe.bol.ucla.edu/cbasketball/ratings.htm
YAG, Yale USAG                , http://sports.sites.yale.edu/ncaa-mens-basketball-power-rankings
ZAM, Zamstat                  , http://www.zamstat.com